PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Drew Eubanks,POR,25,6-9,245,Oregon State,USA,Undrafted,Undrafted,Undrafted,71,7.7,5.4,1.2,-12.8,9.7,19.7,17.1,63.8,10.7
Duane Washington Jr.,IND,22,6-3,197,Ohio State,Germany,Undrafted,Undrafted,Undrafted,48,9.9,1.7,1.8,-5.9,0.4,8.2,21.4,52.1,12.8
Duncan Robinson,MIA,28,6-7,215,Michigan,USA,Undrafted,Undrafted,Undrafted,79,10.9,2.6,1.6,2.6,1.2,8.9,17.4,57.3,9.5
Dwight Howard,LAL,36,6-10,265,None,USA,2004,1,1,60,6.2,5.9,0.6,-5.7,12,24.6,14.5,65.7,4.9
Dwight Powell,DAL,30,6-10,240,Stanford,Canada,2014,2,45,82,8.7,4.9,1.2,2.5,9.9,13.4,13.6,72.5,8.1
Dylan Windler,CLE,25,6-6,196,Belmont,USA,2019,1,26,50,2.2,1.8,0.7,0,4.7,14.6,11.5,51.9,11.1
Ed Davis,CLE,33,6-9,218,North Carolina,USA,2010,1,13,31,0.9,2.1,0.2,4.6,7.2,23,6.2,63.2,5.3
Elfrid Payton,PHX,28,6-3,195,Louisana-Lafayette,USA,2014,1,10,50,3,1.8,2,-2,3.5,11.5,17.5,39.7,25.2
Elijah Hughes,POR,24,6-5,215,Syracuse,USA,2020,2,39,36,3.5,1.6,0.6,-23.7,1.3,11.8,15.8,42.6,7.9
Emanuel Terry,PHX,25,6-9,220,Lincoln Memorial,USA,Undrafted,Undrafted,Undrafted,3,0,5,0.7,-50.3,28.6,38.9,18.9,0,22.2
Emmanuel Mudiay,SAC,26,6-3,200,None,DRC,2015,1,7,2,1.5,0,2,-23.7,0,0,19.2,39.9,57.1
Enes Freedom,BOS,30,6-10,250,None,Turkey,2011,1,3,35,3.7,4.6,0.2,7.8,14.3,21.9,12.9,58.5,2.7
Eric Bledsoe,POR,32,6-1,214,Kentucky,USA,2010,1,18,54,9.9,3.4,4.2,-1.2,2,10.5,19.8,51.4,25.1
Eric Gordon,HOU,33,6-3,215,Indiana,USA,2008,1,7,57,13.4,2,2.7,-5.1,0.9,5.6,18.2,61.4,13.7
Eric Paschall,UTA,25,6-6,255,Villanova,USA,2019,2,41,58,5.8,1.8,0.6,-2.3,4.2,10,17.4,61.2,7.4
Eugene Omoruyi,DAL,25,6-6,235,Oregon,Nigeria,Undrafted,Undrafted,Undrafted,4,1.8,1.8,0.5,11.9,11.1,27.8,15.6,51.8,16.7
