PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Kyrie Irving,BKN,30,6-2,195,Duke,Australia,2011,1,1,29,27.4,4.4,5.8,5.2,1.5,9.6,28.3,59.2,23.5
LaMarcus Aldridge,BKN,36,6-11,250,Texas-Austin,USA,2006,1,2,47,12.9,5.5,0.9,0.1,7.1,16,21.9,60.4,6.2
LaMelo Ball,CHA,20,6-7,180,None,USA,2020,1,3,75,20.1,6.7,7.6,1.5,4.2,15.7,27.1,55.4,34.1
Lamar Stevens,CLE,24,6-6,230,Penn State,USA,Undrafted,Undrafted,Undrafted,63,6.1,2.6,0.7,-1.3,4.8,11.2,16.9,54.4,6.6
Lance Stephenson,IND,31,6-5,210,Cincinnati,USA,2010,2,40,46,8.3,2.8,3.6,-7,1.4,14.9,21.9,53.6,29.8
Landry Shamet,PHX,25,6-4,190,Wichita State,USA,2018,1,26,69,8.3,1.8,1.6,4.9,1,7.2,16,55,10.4
Langston Galloway,MIL,30,6-1,200,St. Joseph's (PA),USA,Undrafted,Undrafted,Undrafted,7,2,2.6,1.7,-6.6,2.3,10.6,11.8,26.9,15.6
Larry Nance Jr.,NOP,29,6-7,245,Wyoming,USA,2015,1,27,46,7,5.4,1.8,-1.9,6.9,17.3,12.8,59,11.5
Lauri Markkanen,CLE,25,6-11,240,Arizona,Finland,2017,1,7,61,14.8,5.7,1.3,3.9,3.3,14.7,19.2,58.2,6.2
LeBron James,LAL,37,6-9,250,None,USA,2003,1,1,56,30.3,8.2,6.2,-2.5,3.1,18.5,31.7,61.9,29.7
Leandro Bolmaro,MIN,21,6-6,200,None,Argentina,2020,1,23,35,1.4,1.2,0.6,0.2,6.2,10.7,12.2,41.9,11.8
Lindell Wigginton,MIL,24,6-1,189,Iowa State,Canada,2019,,,19,4.2,1.3,1.2,-11.8,1.5,10.6,18.3,52.4,16.7
Lindy Waters III,OKC,24,6-6,215,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,25,8,2.9,1,-4.7,1.2,14,16.6,56.2,7.8
Lonnie Walker IV,SAS,23,6-4,204,Miami,USA,2018,1,18,70,12.1,2.6,2.2,-3,1,9.5,23.2,51.2,13.7
Lonzo Ball,CHI,24,6-6,190,UCLA,USA,2017,1,2,35,13,5.4,5.1,3.1,2.9,12.5,17,57.5,20.3
Lou Williams,ATL,35,6-2,175,None,USA,2005,2,45,56,6.3,1.6,1.9,0.8,2,8.4,21.5,50,19.6
Louis King,SAC,23,6-7,205,Oregon,USA,Undrafted,Undrafted,Undrafted,10,4.5,1.2,0.9,-11.9,0,11.5,19.5,43.8,12.5
Luguentz Dort,OKC,23,6-3,215,Arizona State,Canada,Undrafted,Undrafted,Undrafted,51,17.2,4.2,1.7,-8.1,2,9.7,22.8,54.1,8.7
Luka Doncic,DAL,23,6-7,230,None,Slovenia,2018,1,3,65,28.4,9.1,8.7,3.5,2.5,23,36.8,57.1,45.8
Luka Garza,DET,23,6-10,243,Iowa,USA,2021,2,52,32,5.8,3.1,0.6,-6.3,13,11.6,19.5,53.5,8.6
Luke Kennard,LAC,26,6-5,206,Duke,USA,2017,1,12,70,11.9,3.3,2.1,3.4,1,10,16,61.9,11.1
Luke Kornet,BOS,26,7-2,250,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,15,2,1.9,0.6,10.4,11.8,14.2,11.2,50.6,10.8
MJ Walker,PHX,24,6-5,213,Florida State,USA,Undrafted,Undrafted,Undrafted,2,0,0.5,0.5,-19.5,0,14.3,13.8,0,16.7
Mac McClung,LAL,23,6-2,185,Texas Tech,USA,Undrafted,Undrafted,Undrafted,2,4,1.5,0.5,19.2,0,10.7,16.4,62.1,5.9
Malachi Flynn,TOR,24,6-1,175,San Diego State,USA,2020,1,29,44,4.3,1.4,1.6,-2.6,1.6,9.7,15.7,48.8,18.5
Malcolm Brogdon,IND,29,6-5,229,Virginia,USA,2016,2,36,36,19.1,5.1,5.9,-0.4,2.6,12.1,24.1,55.7,27.1
Malcolm Hill,CHI,26,6-6,220,Illinois,USA,Undrafted,Undrafted,Undrafted,19,3.8,1.8,0.4,-7.3,5.1,11.8,11.8,61.9,5
Malik Beasley,MIN,25,6-4,187,Florida State,USA,2016,1,19,79,12.1,2.9,1.5,2,1.2,10,18.9,54.4,8.5
Malik Fitts,BOS,24,6-5,230,St. Mary's College,USA,Undrafted,Undrafted,Undrafted,15,1.4,1.1,0.3,-16.3,3.3,18.5,13.9,55.3,12.5
Malik Monk,LAL,24,6-3,200,Kentucky,USA,2017,1,11,76,13.8,3.4,2.9,0.3,1.7,9.9,19.5,59.7,14.4
Malik Newman,CLE,25,6-3,190,Kansas,USA,2018,,,1,8,1,1,8.3,0,10,43.8,68,100
Mamadi Diakite,OKC,25,6-9,228,Virginia,Guinea,Undrafted,Undrafted,Undrafted,13,4.3,4.5,0.2,-3.2,8.4,21.6,13.6,54,1.8
Marcus Garrett,MIA,23,6-5,205,Kansas,USA,Undrafted,Undrafted,Undrafted,12,1.1,1.9,0.6,5.8,7.2,10.8,8.6,28,6.9
Marcus Morris Sr.,LAC,32,6-8,218,Kansas,USA,2011,1,14,54,15.4,4.4,2.1,-4.8,1.6,12.9,22.8,54.9,11.4
Marcus Smart,BOS,28,6-4,220,Oklahoma State,USA,2014,1,6,71,12.1,3.8,5.9,9.3,1.8,9.3,17.9,54,24.5
Markelle Fultz,ORL,24,6-4,209,Washington,USA,2017,1,1,18,10.8,2.7,5.5,-5.3,1,11.6,26.5,51.7,44.8
Markieff Morris,MIA,32,6-9,245,Kansas,USA,2011,1,13,17,7.6,2.6,1.4,4.5,5.9,8.9,19.7,54.7,11.6
Marko Simonovic,CHI,22,6-11,220,None,Montenegro,2020,2,44,9,1.9,1.1,0,1.2,12.2,11.9,24.7,42.8,0
Markus Howard,DEN,23,5-10,175,Marquette,USA,Undrafted,Undrafted,Undrafted,31,4.1,0.4,0.2,-4.9,1,6.4,26.4,56.7,6.8
Marquese Chriss,DAL,24,6-9,240,Washington,USA,2016,1,8,34,4.5,3,0.5,-2.1,9.6,19.7,20.5,51.8,7.9
Marvin Bagley III,DET,23,6-11,235,Duke,USA,2018,1,2,48,11.3,7,0.8,-5.6,8.4,20,19.1,55.1,4.9
Mason Jones,LAL,23,6-4,200,Arkansas,USA,Undrafted,Undrafted,Undrafted,4,6.8,2.5,1,22.8,2,14.8,18,62.5,12.9
Mason Plumlee,CHA,32,6-11,254,Duke,USA,2013,1,22,73,6.5,7.7,3.1,0.9,9.1,20.5,11.7,60.3,16.5
Matisse Thybulle,PHI,25,6-5,201,Washington,USA,2019,1,20,66,5.7,2.3,1.1,3.8,2.6,6.4,9.5,59.4,6.3
Matt Mooney,NYK,27,6-2,199,Texas Tech,USA,Undrafted,Undrafted,Undrafted,1,0,0,0,-100,0,0,40,0,0
Matt Ryan,BOS,25,6-7,215,Tennessee-Chattanooga,USA,Undrafted,Undrafted,Undrafted,1,3,0,0,25,0,0,35.7,30,0
Matt Thomas,CHI,27,6-3,190,Iowa State,USA,Undrafted,Undrafted,Undrafted,40,4,1.3,0.5,1.1,0.7,9.6,13.7,56.4,5.9
Maurice Harkless,SAC,29,6-7,220,"St. John's, N.Y.",USA,2012,1,15,47,4.6,2.4,0.5,-4.2,1.4,11.4,11.2,56.1,3.5
Max Strus,MIA,26,6-5,215,DePaul,USA,Undrafted,Undrafted,Undrafted,68,10.6,3,1.4,5.6,1.6,11.2,17.7,61.4,8.6
Maxi Kleber,DAL,30,6-10,240,None,Germany,Undrafted,Undrafted,Undrafted,59,7,5.9,1.2,3.9,4.7,18.2,13.1,53.7,6.7
McKinley Wright IV,MIN,23,5-11,192,Colorado,USA,Undrafted,Undrafted,Undrafted,5,1,0,0.6,-25.8,0,0,8.2,83.3,23.1
Melvin Frazier Jr.,OKC,25,6-5,215,Tulane,USA,2018,2,35,3,10.7,4.3,0.3,-38.8,3.3,7.2,19.1,31.3,1.3
Micah Potter,DET,24,6-10,248,Wisconsin,USA,Undrafted,Undrafted,Undrafted,3,4,3,0,-56.4,9.5,12.5,14.8,50.5,0
Michael Porter Jr.,DEN,24,6-10,218,Missouri,USA,2018,1,14,9,9.9,6.6,1.9,9.8,3.5,17.2,19.2,41.6,8.5
Mikal Bridges,PHX,25,6-6,209,Villanova,USA,2018,1,10,82,14.2,4.2,2.3,9.8,2.7,8.9,14.9,62.7,8.4
Mike Conley,UTA,34,6-1,175,Ohio State,USA,2007,1,4,72,13.7,3,5.3,7.7,2.3,7.9,20.2,57.2,28.1
Mike Muscala,OKC,30,6-10,240,Bucknell,USA,2013,2,44,43,8,3,0.5,1.8,3.2,16.6,19.8,63,6
Miles Bridges,CHA,24,6-7,225,Michigan State,USA,2018,1,12,80,20.2,7,3.8,2.1,3,15.8,22.4,59.3,15.3
Miles McBride,NYK,21,6-1,195,West Virginia,USA,2021,2,36,40,2.2,1.1,1,13,1.1,9.7,13.7,39.3,15.9
Mitchell Robinson,NYK,24,7-0,240,Western Kentucky,USA,2018,2,36,72,8.5,8.6,0.5,-2.1,14.5,17.1,11,72.2,3.2
Miye Oni,UTA,24,6-5,206,Yale,USA,2019,2,58,16,0.3,0.4,0.3,-33.3,2.4,11.8,9.5,26.5,17.9
Mo Bamba,ORL,24,7-0,231,Texas,USA,2018,1,6,71,10.6,8.1,1.2,-9.6,7.7,21.4,17,58.2,7.3
Monte Morris,DEN,27,6-2,183,Iowa State,USA,2017,2,51,75,12.6,3,4.4,6,1.3,8.7,17.3,58.3,20.1
Montrezl Harrell,CHA,28,6-7,240,Louisville,USA,2015,2,32,71,13.1,6.1,2,3,9.2,16.3,19.8,68,13.9
Moritz Wagner,ORL,25,6-11,245,Michigan,Germany,2018,1,25,63,9,3.7,1.4,-7.2,4.1,19,22.4,62.3,15.1
Moses Brown,CLE,22,7-2,245,UCLA,USA,Undrafted,Undrafted,Undrafted,40,4.3,3.4,0,-6.2,11,25.7,19.9,61.2,0.5
Moses Moody,GSW,20,6-5,211,Arkansas,USA,2021,1,14,52,4.4,1.5,0.4,-4,2.8,9.8,14.8,57.3,5.6
Moses Wright,DAL,23,6-8,226,Georgia Tech,USA,Undrafted,Undrafted,Undrafted,4,1.3,0.8,0.5,-21.9,8.3,14.3,13.9,47,18.2
Mychal Mulder,MIA,28,6-3,195,Kentucky,Canada,Undrafted,Undrafted,Undrafted,17,4.1,1.4,0.3,-10.3,0.7,8.9,15.3,43.8,3.1
Myles Powell,PHI,24,6-2,195,Seton Hall,USA,Undrafted,Undrafted,Undrafted,11,1.2,0.5,0.3,-15.1,1.9,9.8,16.3,36.4,8.8
Myles Turner,IND,26,6-11,250,Texas,USA,2015,1,11,42,12.9,7.1,1,-0.3,5.2,18.8,17.3,61.5,5.3
Naji Marshall,NOP,24,6-7,220,Xavier,USA,Undrafted,Undrafted,Undrafted,55,5.7,2.6,1.1,-2.2,4.7,14.2,19.7,50.5,12.6
Nassir Little,POR,22,6-5,220,North Carolina,USA,2019,1,25,42,9.8,5.6,1.3,-0.9,5.2,15.8,15.5,57.5,7.4
Nate Hinton,IND,23,6-5,210,Houston,USA,Undrafted,Undrafted,Undrafted,2,0,0,0,76.2,0,0,25,0,0
Nathan Knight,MIN,24,6-10,253,William & Mary,USA,Undrafted,Undrafted,Undrafted,37,3.7,2.3,0.6,3.6,11.4,17.4,20.3,60.3,12.6
Naz Reid,MIN,22,6-9,264,Louisiana State,USA,Undrafted,Undrafted,Undrafted,77,8.3,3.9,0.9,-2.4,7.4,16.1,20.9,58.8,9.1
Neemias Queta,SAC,22,7-0,248,Utah State,Portugal,2021,2,39,15,3,2.1,0.4,-4.1,10.4,14.4,17.6,49.5,7.6
Nemanja Bjelica,GSW,34,6-9,234,None,Serbia,2010,2,35,71,6.1,4.1,2.2,5.2,5.5,18.7,17.5,57.3,20.4
Nerlens Noel,NYK,28,6-11,220,Kentucky,USA,2013,1,6,25,3.4,5.6,0.9,-5.7,8.4,16.1,7.2,58.1,6
Nic Claxton,BKN,23,6-11,215,Georgia,USA,2019,2,31,47,8.7,5.6,0.9,-0.4,9.8,15.7,15,67.2,6.6
Nick Richards,CHA,24,7-0,245,Kentucky,Jamaica,2020,2,42,50,3,1.7,0.3,-13,8.6,13.7,14.7,68.9,5.4
Nickeil Alexander-Walker,UTA,23,6-5,205,Virginia Tech,Canada,2019,1,17,65,10.6,2.9,2.4,-3.1,2.4,10.3,23.7,47.5,16.6
Nicolas Batum,LAC,33,6-8,230,None,France,2008,1,25,59,8.3,4.3,1.7,-4.4,1.9,14.6,13,60.8,9.9
Nik Stauskas,BOS,28,6-6,207,Michigan,Canada,2014,1,8,8,2.3,0.4,0.3,19.3,2.4,4.9,18.4,54.1,6.5
Nikola Jokic,DEN,27,6-11,284,None,Serbia,2014,2,41,74,27.1,13.8,7.9,8.4,9,31.3,30.9,66.1,38.8
Nikola Vucevic,CHI,31,6-10,260,Southern California,Montenegro,2011,1,16,73,17.6,11,3.2,-1.6,6,27.4,24.4,53.3,15.3
Norman Powell,LAC,29,6-3,215,UCLA,USA,2015,2,46,45,19,3.2,2.1,-8.1,1.3,8.9,23.1,60.3,10.6
Norvel Pelle,UTA,29,6-10,231,Iona,USA,Undrafted,Undrafted,Undrafted,3,2,2,0,-54.2,15,15.8,15.2,60,0
O.G. Anunoby,TOR,24,6-7,232,Indiana,United Kingdom,2017,1,23,48,17.1,5.5,2.6,3.9,4,11.6,20.4,54.9,10.8
Obi Toppin,NYK,24,6-9,220,Dayton,USA,2020,1,8,72,9,3.7,1.1,6.9,5.6,15.5,20.5,61.4,10.5
Olivier Sarr,OKC,23,7-0,240,Kentucky,France,Undrafted,Undrafted,Undrafted,22,7,4.2,0.9,-2,7.8,13.3,13.6,67.2,6.6
Omer Yurtseven,MIA,24,6-11,275,Georgetown,Turkey,Undrafted,Undrafted,Undrafted,56,5.3,5.3,0.9,5.3,12,29.3,19,54.6,10.5
Onyeka Okongwu,ATL,21,6-8,240,Southern California,USA,2020,1,6,48,8.2,5.9,1.1,5.5,11.7,16.3,13.7,71.4,7.8
Oshae Brissett,IND,24,6-7,210,Syracuse,Canada,Undrafted,Undrafted,Undrafted,67,9.1,5.3,1.1,-6,6.5,16.5,16.6,53,6.4
Otto Porter Jr.,GSW,29,6-8,198,Georgetown,USA,2013,1,3,63,8.2,5.7,1.5,6.8,6,18.9,14.5,58.1,9.7
P.J. Dozier,DEN,25,6-6,205,South Carolina,USA,Undrafted,Undrafted,Undrafted,18,5.4,3.5,1.6,-12.9,3.8,14.4,14.7,46.3,13.5
P.J. Tucker,MIA,37,6-5,245,Texas,USA,2006,2,35,71,7.6,5.5,2.1,6.2,5.2,14.6,11.6,59.3,10.7
P.J. Washington,CHA,23,6-7,230,Kentucky,USA,2019,1,12,65,10.3,5.2,2.3,3.5,4.4,14.2,15.4,58.8,11.2
Paris Bass,PHX,26,6-8,200,Detroit Mercy,USA,Undrafted,Undrafted,Undrafted,2,3,2,0,0.7,20,22.2,36,43.6,0
Pascal Siakam,TOR,28,6-8,230,New Mexico State,Cameroon,2016,1,27,68,22.8,8.5,5.3,4.8,4.6,18.2,25.7,56.5,22.4
Pat Connaughton,MIL,29,6-5,209,Notre Dame,USA,2015,2,41,65,9.9,4.2,1.3,-0.7,2.5,13,13.7,62,6.7
Patrick Beverley,MIN,33,6-1,180,Arkansas,USA,2009,2,42,58,9.2,4.1,4.6,3.7,3.8,11.9,15.8,53.9,24.9
Patrick Williams,CHI,20,6-7,215,Florida State,USA,2020,1,4,17,9,4.1,0.9,-5.5,4,13.2,13.9,63.7,5.1
Patty Mills,BKN,33,6-0,180,St. Mary's,Australia,2009,2,55,81,11.4,1.9,2.3,1.5,0.8,5.5,16,56.3,10.6
Paul George,LAC,32,6-8,220,Fresno State,USA,2010,1,10,31,24.3,6.9,5.7,4.2,1.1,17.1,32.9,53.8,28.6
Paul Millsap,PHI,37,6-7,257,Louisiana Tech,USA,2006,2,47,33,3.5,3.5,0.9,-3.5,9.6,18.2,15.8,45.8,12.1
Paul Reed,PHI,23,6-9,210,DePaul,USA,2020,2,58,38,3.1,2.4,0.4,-6.2,13.7,16.4,15.1,56.8,8.1
Paul Watson,OKC,27,6-6,210,Fresno State,USA,Undrafted,Undrafted,Undrafted,9,3.4,3,0.9,-17.9,1.6,14.5,10.6,43.2,7.4
Payton Pritchard,BOS,24,6-1,195,Oregon,USA,2020,1,26,71,6.2,1.9,2,2.2,3.1,9.3,18,57.8,22.2
Petr Cornelie,DEN,26,6-11,220,None,France,2016,2,53,13,1.1,1.1,0.2,5.8,15.9,21.9,20.8,41.8,11.5
Precious Achiuwa,TOR,22,6-8,225,Memphis,Nigeria,2020,1,20,73,9.1,6.5,1.1,1.9,7.5,18.8,18,50.3,7.2
Quentin Grimes,NYK,22,6-4,210,Houston,USA,2021,1,25,46,6,2,1,-3,2.8,8.5,14.9,56.5,9.5
Quinndary Weatherspoon,GSW,25,6-3,205,Mississippi State,USA,2019,2,49,11,2.7,1.3,0.5,-8.6,2.9,18.2,15,64.7,10.2
R.J. Hampton,ORL,21,6-4,175,None,USA,2020,1,24,64,7.6,3,2.5,-14.5,1.5,12,18,48.1,17.9
RJ Barrett,NYK,22,6-6,214,Duke,Canada,2019,1,3,70,20,5.8,3,-3.3,2.5,13.6,26.8,51.1,14.6
RJ Nembhard Jr.,CLE,23,6-4,200,Texas Christian,USA,Undrafted,Undrafted,Undrafted,14,1.1,0.5,0.9,-8.4,4.2,5.6,16,38,34.3
Rajon Rondo,CLE,36,6-1,180,Kentucky,USA,2006,1,21,39,4.8,2.8,4.4,-7.8,2,11.8,15.2,49.6,36.6
Raul Neto,WAS,30,6-2,180,None,Brazil,2013,2,47,70,7.5,1.9,3.1,-3.3,1,8.9,18,53.8,22.8
Rayjon Tucker,MIL,24,6-3,209,Arkansas-Little Rock,USA,Undrafted,Undrafted,Undrafted,5,4.2,1.6,2,-2.7,5.1,7.6,7.5,86.9,17.2
Reggie Bullock,DAL,31,6-6,205,North Carolina,USA,2013,1,25,68,8.6,3.5,1.2,6.6,1.7,10.6,12.8,55.8,6
Reggie Jackson,LAC,32,6-2,208,Boston College,USA,2011,1,24,75,16.8,3.6,4.8,-1.3,1.6,9.2,27.3,48.8,24.5
Reggie Perry,POR,22,6-8,250,Mississippi State,USA,2020,2,57,10,9.2,4.7,1.2,-16.6,7.4,16.5,22.2,53.7,11.8
Richaun Holmes,SAC,28,6-10,235,Bowling Green,USA,2015,2,37,45,10.4,7,1.1,-5.8,8.2,19.8,15.3,68.9,6.8
Ricky Rubio,IND,31,6-2,190,None,Spain,2009,1,5,34,13.1,4.1,6.6,9.1,1.5,12.2,23.4,48.8,34.8
Rob Edwards,OKC,25,6-5,205,Arizona State,USA,Undrafted,Undrafted,Undrafted,2,1.5,1.5,0,-59.1,0,21.4,22.7,37.5,0
Robert Covington,LAC,31,6-7,209,Tennessee State,USA,Undrafted,Undrafted,Undrafted,71,8.5,5.5,1.3,0.6,3,16.7,13.4,57.2,6.6
Robert Williams III,BOS,24,6-9,237,Texas A&M,USA,2018,1,27,61,10,9.6,2,10,13.1,17.8,11.2,74.5,9.5
Robert Woodard II,SAS,22,6-6,235,Mississippi State,USA,2020,2,40,12,0.6,0.9,0.3,16.7,8.6,14.6,15.8,20.7,8.6
Robin Lopez,ORL,34,7-0,281,Stanford,USA,2008,1,15,36,7.1,3.5,1.5,-6.4,9.8,8.9,18.2,57,14.2
Rodney Hood,LAC,29,6-8,208,Duke,USA,2014,1,23,52,3.1,1.5,0.7,0.8,2.1,8.1,10.6,49.3,7.4
Rodney McGruder,DET,30,6-4,205,Kansas State,USA,Undrafted,Undrafted,Undrafted,51,5.4,2.2,0.9,-3.7,3.7,10.4,14.2,57.7,9.4
Romeo Langford,SAS,22,6-5,216,Indiana,USA,2019,1,14,48,4.5,2.3,0.4,1,3.5,9.2,12.3,52,4
Royce O'Neale,UTA,29,6-5,226,Baylor,USA,Undrafted,Undrafted,Undrafted,77,7.4,4.8,2.5,5.3,2.7,12,9.8,60.8,10.4
Rudy Gay,UTA,35,6-8,250,Connecticut,USA,2006,1,8,55,8.1,4.4,1,8.7,5,16.6,18.5,53.9,7.8
Rudy Gobert,UTA,30,7-1,258,None,France,2013,1,27,66,15.6,14.7,1.1,9.6,11.4,31.2,16.6,73.2,5.2
Rui Hachimura,WAS,24,6-8,230,Gonzaga,Japan,2019,1,9,42,11.3,3.8,1.1,-7.1,2.7,14.3,20.5,57.9,8
Russell Westbrook,LAL,33,6-3,200,UCLA,USA,2008,1,4,78,18.5,7.4,7.1,-4,3.9,16.5,26.4,51.2,31.1
Ryan Arcidiacono,NYK,28,6-3,195,Villanova,USA,Undrafted,Undrafted,Undrafted,10,1.6,0.8,0.4,-8.2,0,10.5,8.5,66.7,9.1
Saben Lee,DET,23,6-2,183,Vanderbilt,USA,2020,2,38,37,5.6,2.4,2.9,-5.7,2.6,11.3,16.9,49.9,27.4
Saddiq Bey,DET,23,6-7,215,Villanova,USA,2020,1,19,82,16.1,5.4,2.8,-9.3,3.5,12.5,20.9,52.9,13.8
Sam Dekker,TOR,28,6-8,219,Wisconsin,USA,2015,1,18,1,0,0,0,-250,0,0,0,0,0
Sam Hauser,BOS,24,6-7,217,Virginia,USA,Undrafted,Undrafted,Undrafted,26,2.5,1.1,0.4,-0.3,3,13.3,13.6,65,9.5
Sam Merrill,MEM,26,6-4,205,Utah State,USA,2020,2,60,6,4.2,1.2,0.7,-11.1,1.2,10.7,17.8,48.5,10.8
Sandro Mamukelashvili,MIL,23,6-9,240,Seton Hall,Georgia,2021,2,54,41,3.8,2,0.5,-17.6,7.9,11.6,14.2,61.8,8.4
Santi Aldama,MEM,21,6-11,215,Loyola-Maryland,Spain,2021,1,30,32,4.1,2.7,0.7,1.3,7.7,15,17.4,45.2,8
Scottie Barnes,TOR,20,6-7,225,Florida State,USA,2021,1,4,74,15.3,7.5,3.5,1.8,6.8,14.1,18.7,55.2,15
Scottie Lewis,CHA,22,6-5,185,Florida,USA,2021,2,56,2,0.5,0,0.5,-11.8,0,0,5.9,56.8,20
Scotty Hopson,OKC,32,6-7,204,Tennessee,USA,2011,0,0,1,4,1,1,-18.4,0,4.3,14.3,50,9.1
Sekou Doumbouya,LAL,21,6-9,230,None,France,2019,1,15,2,7,3,0,67.8,11.1,18.2,28.6,71.7,0
Semi Ojeleye,LAC,27,6-6,240,Southern Methodist,USA,2017,2,37,30,3.3,2.5,0.3,-16.6,5.7,11.1,12.6,43.8,3.3
Serge Ibaka,MIL,32,6-10,235,None,Republic of the Congo,2008,1,24,54,6.8,4.6,0.9,-3,7,19.7,17.2,57.9,8.4
Seth Curry,BKN,31,6-2,185,Duke,USA,Undrafted,Undrafted,Undrafted,64,15,3.1,3.6,4.5,1,8.2,18.2,61.5,16.2
Shai Gilgeous-Alexander,OKC,23,6-6,180,Kentucky,Canada,2018,1,11,56,24.5,5,5.9,-6.4,1.7,11.4,29.8,55.7,29.3
Shake Milton,PHI,25,6-5,205,Southern Methodist,USA,2018,2,54,55,8.2,2.6,2.5,-1,2.5,9.4,17.4,51.7,17.8
Shaq Buchanan,MEM,25,6-3,190,Murray State,USA,Undrafted,Undrafted,Undrafted,2,1,1,1,-8.7,9.1,14.3,21.4,25,25
Shaquille Harrison,BKN,28,6-4,195,Tulsa,USA,Undrafted,Undrafted,Undrafted,2,2,2,1.5,-12.4,5.3,12.5,14.8,33.3,18.8
Sharife Cooper,ATL,21,6-1,176,Auburn,USA,2021,2,48,13,0.5,0.4,0.4,-43.9,0,14.7,20.2,25,31.3
Skylar Mays,ATL,24,6-4,205,Louisiana State,USA,2020,2,50,28,2.9,0.9,0.6,-12.9,2.2,9.1,14.9,58.9,12
Solomon Hill,ATL,31,6-6,226,Arizona,USA,2013,1,23,13,0.6,1.8,0.9,14.3,4.3,11.5,6.4,20,11.7
Spencer Dinwiddie,DAL,29,6-6,215,Colorado,USA,2014,2,38,67,13.7,4.2,5.2,-1,2.2,11.1,20.8,54.3,27
Stanley Johnson,LAL,26,6-6,242,Arizona,USA,2015,1,8,48,6.7,3.2,1.7,-1.1,3.2,10.9,12.5,56.4,9.4
Stephen Curry,GSW,34,6-2,185,Davidson,USA,2009,1,7,64,25.5,5.2,6.3,10.7,1.5,12.6,29.3,60.1,28.6
Sterling Brown,DAL,27,6-5,219,Southern Methodist,USA,2017,2,46,49,3.3,3,0.7,2.3,3.9,18.7,12.4,49.5,7.8
Steven Adams,MEM,28,6-11,265,Pittsburgh,New Zealand,2013,1,12,76,6.9,10,3.4,8.3,15.9,19.8,11.8,56,15.5
Svi Mykhailiuk,TOR,25,6-7,205,Kansas,Ukraine,2018,2,47,56,4.6,1.6,0.8,-5.9,2.4,10.1,16.1,50.9,9.4
T.J. McConnell,IND,30,6-1,190,Arizona,USA,2015,0,,27,8.5,3.3,4.9,-5.5,2.9,11,15.7,52.5,28.7
Tacko Fall,CLE,26,7-6,311,UCF,Senegal,Undrafted,Undrafted,Undrafted,11,1.1,2.1,0.2,-0.8,11.5,27.1,12.4,39.8,4.8
Taj Gibson,NYK,37,6-9,232,Southern California,USA,2009,1,26,52,4.4,4.4,0.6,3.3,8.8,13.9,9.9,60.6,5
Talen Horton-Tucker,LAL,21,6-4,234,Iowa State,USA,2019,2,46,60,10,3.2,2.7,-2.2,2.4,10,18.9,50.3,15.3
Taurean Prince,MIN,28,6-6,218,Baylor,USA,2016,1,12,69,7.3,2.5,1,0.7,2.1,12,16.6,58.9,8
Terance Mann,LAC,25,6-5,215,Florida State,USA,2019,2,48,81,10.8,5.2,2.6,1.5,4.4,12.7,15.7,57.2,13.1
Terence Davis,SAC,25,6-4,201,Mississippi,USA,Undrafted,Undrafted,Undrafted,30,10.4,3.1,1.3,4.4,1.9,13.8,24.4,54.3,10.7
Terrence Ross,ORL,31,6-6,206,Washington,USA,2012,1,8,63,10,2.6,1.8,-11.9,1.3,9.4,19.6,51.5,12.7
Terry Rozier,CHA,28,6-1,190,Louisville,USA,2015,1,16,73,19.3,4.3,4.5,1.4,2.1,10.1,22.7,56.6,19.7
Terry Taylor,IND,22,6-5,230,Austin Peay,USA,Undrafted,Undrafted,Undrafted,33,9.6,5.2,1.2,-6.9,12.9,11.7,15.1,65.6,8.1
Thaddeus Young,TOR,34,6-8,235,Georgia Tech,USA,2007,1,12,52,6.2,4,2,-0.2,8.8,15.2,16.9,54.8,17.7
Thanasis Antetokounmpo,MIL,29,6-6,219,None,Greece,2014,2,51,48,3.6,2.1,0.5,-10.1,8.3,12.9,15.5,57.7,7.1
Theo Maledon,OKC,21,6-4,175,None,France,2020,2,34,51,7.1,2.6,2.2,-10.5,2,11.8,20.1,50,18.8
Theo Pinson,DAL,26,6-5,212,North Carolina,USA,Undrafted,Undrafted,Undrafted,19,2.5,1.1,0.9,-12.4,1.2,12.4,13.8,55.3,18.1
Thomas Bryant,WAS,24,6-10,248,Indiana,USA,2017,2,42,27,7.4,4,0.9,-9.1,6,18.7,18.8,60.7,8.3
Tim Frazier,CLE,31,6-0,170,Penn State,USA,Undrafted,Undrafted,Undrafted,12,3.3,1.6,2.8,-17.5,2.4,6.6,13.7,39.8,25.4
Tim Hardaway Jr.,DAL,30,6-5,205,Michigan,USA,2013,1,24,42,14.2,3.7,2.2,1.3,1,11.4,21.4,52,11.5
Timothe Luwawu-Cabarrot,ATL,27,6-7,215,None,France,2016,1,24,52,4.4,1.6,0.8,-3.5,2.4,9.4,13.5,55.6,8
Tobias Harris,PHI,29,6-7,226,Tennessee,USA,2011,1,19,73,17.2,6.8,3.5,3.2,3.2,16.4,21.4,56.6,15.8
